Escarola,20,4.1,1.7,0.1
Espinaca,26,4.3,3.2,0.3
Espárrago,26,5,2.5,0.2
Haba,118,20.3,9.3,0.4
Hinojo,28,5.1,2.8,0.4
Hongos,28,4.4,2.7,0.3
Lechuga,13,2.9,0.9,0.1
Choclo,96,22.1,3.5,1
Palmito,26,5.2,2.2,0.2
Palta,162,6.4,1.8,16
Papa,76,17.1,2.1,0.1
Pepino,15,2.7,0.7,0.1
Rabanito,16,2.8,0.6,0.1
Remolacha,44,9.5,1.7,0.1
Brotes de Soja,58,5.9,4.1,1.1
Tomate,22,4.7,1.1,0.2
Zanahoria,42,9.7,1.1,0.2
Zapallito,17,3.6,1.2,0.1
Arvejas secas,340,60.3,24.1,1.3
Garbanzos,360,61,20.5,4.8
Lentejas,340,60.1,24.7,1.1
Porotos,340,61.3,22.3,1.6
Soja grano entero,306,33.3,33.4,16.1
Ananá,52,13.7,0.4,0.2
Banana,85,22.2,1.1,0.2
Cereza,58,14.3,1.2,0.3
Ciruela,47,11.9,0.6,0.2
Coco fresco,296,13.7,3.5,27.2
Damasco,57,13.8,0.8,0.6
Durazno,52,13.3,0.8,0.2
Frutilla,36,8.5,0.8,0.3
Granada,67,16.2,0.8,0.7
Higo,62,15.6,1.2,0.2
Kinoto,62,15.6,1.3,0.2
Kiwi,53,10.8,0.8,0.6
Limón,29,8.1,0.6,0.6
Mandarina,43,10.9,0.7,0.2
Manzana,58,15.2,0.3,0.3
Melón,44,11.1,0.6,0.3
Naranja,42,10.5,0.8,0.2
Níspero,44,10.7,0.2,0.6
Pera,56,14.8,0.3,0.2
Pomelo,41,10.6,0.5,0.1
Sandía,22,5.3,0.5,0.1
Uva,68,16.7,0.6,0.7
Almendra,547,19.6,18.6,54.1
Avellana,647,19.8,10.8,63.2
Castaña de pará,640,20.5,13.2,60.3
Maní,560,17.5,26.7,47.3
Nuez,664,13.2,13.7,67.2
Pistacho,594,19,19.3,53.7
Ciruela,255,67.4,21,0.6
Durazno,262,68.3,3.1,0.7
Dátil,274,72.9,2.2,0.5
Higo,274,69.1,4.3,1.3
Pasa de uva,289,77.4,2.5,0.2
Ananá,35,8.34,0.38,0.12
Cóctel de Frutas diet,36,8.34,0.38,0.12
Durazno en almíbar diet,14,2.8,0.2,0.2
Peras en almíbar diet,25,5.5,0.4,0.2
All Bran,233,73.3,13.3,3.3
Arroz Blanco,343,78.6,6.7,0.25
Arroz integral,353,75.8,8.7,1.7
Avena "Nestum",410,71.5,13,8
Avena arrollada,387,62.5,12.7,9.5
Avena salvado,383,58.9,17,8.8
Cereal Mix,375,67.5,9.5,7.2
Choco cereal,400,86.7,6.7,3.3
Copos de Maíz,367,83,6.6,0
Copos de Maíz azucarados,367,93,3.3,0
Froot Loops,367,83.3,6.7,3.3
Harina de Gluten,378,47.2,41.4,1.9
Maíz harina precocida,374,81.4,7.2,1.2
Maíz almidón,355,88.2,0.3,0.1
Sémola,346,71,12,1.5
Trigo harina,345,74.5,9.5,1.1
Trigo harina integral,333,71,13.3,2
Trigo salvado,353,61.9,16,4.6
Cappelettis cuatro Quesos,275,47,8.5,5.9
Fideos,369,75.2,12.5,1.2
Fideos soperos,343,72.2,11,1.1
Masa de empanadas,385,43.5,5,21.2
Masa de pizza de molde,246,46.9,6.6,3.4
Ñoquis de papa,246,40.2,6.3,6.6
Ravioles de carne y jamón,253,44.4,9.1,4.4
Tallarines al huevo,287,56.8,9.2,2.6
Fideos de gluten,363,54,33,1.6
Fideos de harina integral,359,70,15.4,1.7
Fideos diet,370,54,32,1
Pan alemán,263,56.5,8.9,0.2
Pan Matzá,390,84.7,10,1
Pan francés,269,57.4,9.3,0.2
Pan Lacteado,256,52.4,7.6,1.7
Pan de centeno,245,50.5,8.2,1.1
Pan de salvado doble diet,228,36.8,13.5,3
Bombas,373,33.4,14,20.4
Cañón de dulce de leche,397,53.7,6.7,17.3
Churros,348,40,4.6,20
Doughnuts,391,51.4,4.6,18.6
Magdalena,391,48.4,5.3,18.4
Medialuna,318,55,9.1,6.9
Mil hojas,630,45,8.6,46.2
Palmeras,475,45,5.2,30.5
Panqueques,235,28.9,9.4,9.1
Scons,398,49.3,10.8,17.5
Bay0biscuit,392,83.3,8.6,2.7
Galleta marinera,361,75.9,12.8,0.7
Galletitas de agua,415,72.2,8.6,10.2
Galletitas con salvado,438,69.3,13.8,12.4
Galletitas con salvado diet,310,59.2,13,2
Galletitas dulces,457,73.4,7,15.1
Galletitas dulces rellenas,496,70.7,3.5,22.1
Grisines,342,72.6,12.5,0.2
Vainilla,388,81.6,7.8,3.4
Crema de leche,422,2.5,1.7,45
Manteca,744,0,1.5,82
Manteca diet,381,0,6.5,39.4
Manteca de cacao,925,0,0,94.5
Manteca de maní,581,17.2,27.8,49.4
Margarina,730,0.4,0.6,81
Margarina diet,333,1.8,0.2,36.1
Aceite de girasol,860,0,0,100
Aceite de oliva,860,0,0,100
Ketchup,150,3.5,2,0
Mayonesa,800,1.5,1,81.3
Mostaza,75,6.4,4.7,4.4
Salsa blanca,163,8.8,3.9,12.5
Salsa de soja,61,8.3,8.8,0
Salsa pomarola,60,3.2,1.9,4.4
Salsa golf,640,7,1.6,67
Mayonesa ligth,374,7.5,0.5,38
Azúcar blanca,385,99.5,0,0
Azúcar morena,373,96.4,0,0
Dulce de batata,255,62.4,0.1,0.55
Dulce de leche,284,52,5.5,6
Dulce de membrillo,278,86.8,0.98,0.44
Jaleas,261,65,0.2,0
Mermelada,272,70,0.6,0.1
Miel,294,79.5,0.3,0
Dulce de batata diet,171,42,0.1,0.16
Dulce de Leche diet,210,27,6,2.5
Jalea diet,106,26.1,0.4,0.07
Mermelada diet,110,26.8,0.4,0.007
Agua tónica,34,8.5,0,0
Alimento de soja líquido,44,10.1,0.5,0.2
Bebida gaseosa azucarada,48,12,0,0
Almendras tostadas,627,19.5,18.6,57.7
Chizitos,520,56,12,32
Maní salado,600,20,32,44
Palitos salados,591,53.9,7.3,38.5
Papas fritas,540,48,8,36
Pochoclo,386,76.4,12.9,5
Pochoclo acaramelado,520,64,4,28
Semillas de amapola,533,23.7,18,44.7
Semillas de girasol,560,19.9,23,47.3
Semillas de sésamo,563,21.6,18.6,49.1
